EHAM,195,4616
LFPG,165,3011
EDDB,163,2772
EGCC,84,2640
EIDW,122,2473
EFHK,150,2227
LIRF,79,2052
EBBR,79,2021
ESSA,83,1850
UUEE,75,1722
LOWW,113,1637
LPPT,72,1606
LEBL,151,1211
EVRA,41,967
GMMN,148,755
KBOS,94,4080
KMIA,160,2815
CYYZ,128,2668
KIAD,192,2356
KORD,212,2155
CYUL,132,2110
CYVR,93,1764
KSEA,84,1471
KDEN,238,1446
KDTW,196,1347
KMCO,184,1298
KPHL,86,1045
KPHX,180,973
KIAH,250,923
TFFR,48,856
SKBO,144,830
SBGR,64,648
CYYC,140,640
CYWG,56,505
TJSJ,68,498
SBGL,72,418
TBPB,70,387
TTPP,72,327
